"","V1","V2","likelihood_estimates"
"733",0.08,495,-4616217.66695981
"734",0.08,510,-4617322.80383445
"735",0.08,525,-4618397.32326172
"736",0.08,540,-4619442.89218322
"737",0.08,555,-4620461.04436833
"738",0.08,570,-4621453.19427238
"739",0.08,585,-4622420.64913679
"740",0.08,600,-4623364.61958884
"741",0.08,615,-4624286.22896014
"742",0.08,630,-4625186.52150758
"743",0.08,645,-4626066.46968495
"744",0.08,660,-4626926.98059733
"745",0.08,675,-4627768.90174414
"746",0.08,690,-4628593.02614318
"747",0.08,705,-4629400.0969161
"748",0.08,720,-4630190.81139895
"749",0.08,735,-4630965.8248375
"750",0.08,750,-4631725.75371774
"751",0.08,765,-4632471.17877017
"752",0.08,780,-4633202.64769096
"753",0.08,795,-4633920.67760666
"754",0.08,810,-4634625.75731269
"755",0.08,825,-4635318.34931241
"756",0.08,840,-4635998.8916729
"757",0.08,855,-4636667.79972107
